Datetime,Equity_Value,Date
2017-10-27 13:55:00,1092661.65,2017-10-27
2017-10-27 13:56:00,1092663.8,2017-10-27
2017-10-27 13:57:00,1092661.65,2017-10-27
2017-10-27 13:58:00,1092661.2,2017-10-27
2017-10-27 13:59:00,1092661.2,2017-10-27
2017-10-27 14:00:00,1092661.75,2017-10-27
2017-10-27 14:01:00,1092663.3,2017-10-27
2017-10-27 14:02:00,1092662.1,2017-10-27
2017-10-27 14:03:00,1092664.35,2017-10-27
2017-10-27 14:04:00,1092664.5,2017-10-27
2017-10-27 14:05:00,1092664.25,2017-10-27
2017-10-27 14:06:00,1092663.25,2017-10-27
2017-10-27 14:07:00,1092662.75,2017-10-27
2017-10-27 14:08:00,1092666.35,2017-10-27
2017-10-27 14:09:00,1092664.85,2017-10-27
2017-10-27 14:10:00,1092665.75,2017-10-27
2017-10-27 14:11:00,1092667.8,2017-10-27
2017-10-27 14:12:00,1092667.8,2017-10-27
2017-10-27 14:13:00,1092667.15,2017-10-27
2017-10-27 14:14:00,1092666.35,2017-10-27
2017-10-27 14:15:00,1092664.8,2017-10-27
2017-10-27 14:16:00,1092664.4,2017-10-27
2017-10-27 14:17:00,1092664.5,2017-10-27
2017-10-27 14:18:00,1092664.9,2017-10-27
2017-10-27 14:19:00,1092661.95,2017-10-27
2017-10-27 14:20:00,1092663.35,2017-10-27
2017-10-27 14:21:00,1092662.3,2017-10-27
2017-10-27 14:22:00,1092662.45,2017-10-27
2017-10-27 14:23:00,1092663.85,2017-10-27
2017-10-27 14:24:00,1092666.0,2017-10-27
2017-10-27 14:25:00,1092665.9,2017-10-27
2017-10-27 14:26:00,1092667.3,2017-10-27
2017-10-27 14:27:00,1092667.15,2017-10-27
2017-10-27 14:28:00,1092669.6,2017-10-27
2017-10-27 14:29:00,1092668.25,2017-10-27
2017-10-27 14:30:00,1092669.75,2017-10-27
2017-10-27 14:31:00,1092668.8,2017-10-27
2017-10-27 14:32:00,1092667.75,2017-10-27
2017-10-27 14:33:00,1092669.5,2017-10-27
2017-10-27 14:34:00,1092669.3,2017-10-27
2017-10-27 14:35:00,1092668.15,2017-10-27
2017-10-27 14:36:00,1092669.25,2017-10-27
2017-10-27 14:37:00,1092667.95,2017-10-27
2017-10-27 14:38:00,1092667.9,2017-10-27
2017-10-27 14:39:00,1092669.3,2017-10-27
2017-10-27 14:40:00,1092670.2,2017-10-27
2017-10-27 14:41:00,1092670.6,2017-10-27
2017-10-27 14:42:00,1092670.6,2017-10-27
2017-10-27 14:43:00,1092672.5,2017-10-27
